Ref,Val,Package,PosX,PosY,Rot,Side
"U11","SN65176B","SOIC-8-N",78.060000,42.430000,0.000000,top
"U13","RT8259","SOT-23-6",17.390000,17.730000,180.000000,top
"U14","SN65176B","SOIC-8-N",78.060000,14.930000,0.000000,top
"U15","SN65176B","SOIC-8-N",78.060000,-1.570000,0.000000,top
"U16","SN65176B","SOIC-8-N",78.060000,3.930000,0.000000,top
"U17","SN65176B","SOIC-8-N",78.060000,20.430000,0.000000,top
"U18","SN65176B","SOIC-8-N",78.060000,25.930000,0.000000,top
"U19","SN65176B","SOIC-8-N",78.060000,9.430000,0.000000,top
"U20","USBLC6-4SC6","SOT-23-6",45.310000,40.430000,90.000000,top
"U21","USBLC6-4SC6","SOT-23-6",79.301031,-14.368474,-90.000000,top
"U22","USBLC6-4SC6","SOT-23-6",40.310000,40.430000,90.000000,top
"U23","USBLC6-4SC6","SOT-23-6",26.560000,9.180000,180.000000,top
"U24","RT8259","SOT-23-6",17.142500,30.365000,180.000000,top
"U25","STM32F303CBTx","LQFP-48_7x7mm_Pitch0.5mm",76.551031,-27.748474,0.000000,top
"U26","STM32F405VG","LQFP-100_14x14mm_Pitch0.5mm",43.310000,15.680000,0.000000,top
"U28","RT8259","SOT-23-6",8.075000,8.157500,90.000000,top
"U29","USBLC6-4SC6","SOT-23-6",84.201031,-16.618474,-90.000000,top
"Y1","8M","Crystal_SMD_0503_4Pads",64.801031,-27.248474,-90.000000,top
"Y2","8M","Crystal_SMD_0503_4Pads",27.810000,15.430000,0.000000,top
